iter	Passed	Remaining
802	1278	313
803	1279	311
804	1281	310
805	1282	308
806	1283	306
807	1284	305
808	1285	303
809	1287	301
810	1288	300
811	1289	298
812	1290	296
813	1291	295
814	1292	293
815	1293	291
816	1294	290
817	1295	288
818	1297	286
819	1299	285
820	1300	283
821	1302	281
822	1303	280
823	1304	278
824	1306	277
825	1307	275
826	1308	273
827	1309	271
828	1310	270
829	1312	268
830	1313	267
831	1315	265
832	1316	263
833	1317	262
834	1317	260
835	1319	258
836	1320	257
837	1322	255
838	1324	254
839	1325	252
840	1327	250
841	1327	249
842	1328	247
843	1330	245
844	1332	244
845	1333	242
846	1333	240
847	1334	239
848	1335	237
849	1336	235
850	1337	234
851	1338	232
852	1340	230
853	1341	229
854	1343	227
855	1344	226
856	1346	224
857	1347	223
858	1349	221
859	1350	219
860	1351	218
861	1353	216
862	1354	215
863	1356	213
864	1357	211
865	1358	210
866	1360	208
867	1361	207
868	1363	205
869	1364	203
870	1365	202
871	1365	200
872	1367	198
873	1368	197
874	1370	195
875	1371	194
876	1372	192
877	1374	190
878	1375	189
879	1377	187
880	1378	186
881	1378	184
882	1379	182
883	1380	181
884	1381	179
885	1382	177
886	1383	176
887	1384	174
888	1385	172
889	1386	171
890	1387	169
891	1389	168
892	1390	166
893	1392	165
894	1392	163
895	1393	161
896	1395	160
897	1396	158
898	1396	156
899	1397	155
900	1399	153
901	1400	152
902	1401	150
903	1402	148
904	1403	147
905	1404	145
906	1406	144
907	1407	142
908	1408	140
909	1409	139
910	1410	137
911	1411	136
912	1413	134
913	1414	133
914	1416	131
915	1417	130
916	1419	128
917	1420	126
918	1422	125
919	1423	123
920	1424	122
921	1425	120
922	1427	119
923	1428	117
924	1428	115
925	1430	114
926	1431	112
927	1433	111
928	1434	109
929	1435	108
930	1436	106
931	1437	104
932	1439	103
933	1441	101
934	1442	100
935	1444	98
936	1445	97
937	1447	95
938	1448	94
939	1449	92
940	1450	90
941	1451	89
942	1453	87
943	1453	86
944	1455	84
945	1457	83
946	1459	81
947	1460	80
948	1462	78
949	1463	77
950	1464	75
951	1466	73
952	1467	72
953	1469	70
954	1470	69
955	1471	67
956	1472	66
957	1473	64
958	1475	63
959	1476	61
960	1477	59
961	1478	58
962	1479	56
963	1480	55
964	1481	53
965	1481	52
966	1483	50
967	1484	49
968	1485	47
969	1487	45
970	1488	44
971	1488	42
972	1493	41
973	1494	39
974	1496	38
975	1497	36
976	1498	35
977	1500	33
978	1501	32
979	1503	30
980	1504	29
981	1505	27
982	1507	26
983	1508	24
984	1510	22
985	1511	21
986	1513	19
987	1514	18
988	1516	16
989	1517	15
990	1518	13
991	1520	12
992	1521	10
993	1523	9
994	1524	7
995	1526	6
996	1527	4
997	1528	3
998	1529	1
999	1531	0
